"행정구역","2021년07월_계_총인구수","2021년07월_계_연령구간인구수","2021년07월_계_0~9세","2021년07월_계_10~19세","2021년07월_계_20~29세","2021년07월_계_30~39세","2021년07월_계_40~49세","2021년07월_계_50~59세","2021년07월_계_60~69세","2021년07월_계_70~79세","2021년07월_계_80~89세","2021년07월_계_90~99세","2021년07월_계_100세 이상"
"서울특별시 중랑구 면목제7동(1126057000)","21,973","21,973","1,140","1,202","3,044","3,321","3,125","3,821","3,621","1,913","695","90","1"
"서울특별시 중랑구 면목제3.8동(1126057500)","25,132","25,132","1,071","1,433","3,751","3,511","3,410","4,600","4,146","2,251","844","111","4"
"서울특별시 중랑구 상봉제1동(1126058000)","24,503","24,503","1,785","1,911","3,528","3,631","3,528","4,254","3,504","1,579","689","92","2"
"서울특별시 중랑구 상봉제2동(1126059000)","20,317","20,317","779","761","4,261","4,341","2,608","3,098","2,548","1,368","477","65","11"
"서울특별시 중랑구 중화제1동(1126060000)","19,979","19,979","1,207","1,312","2,844","3,148","2,798","3,291","3,157","1,589","566","66","1"
"서울특별시 중랑구 중화제2동(1126061000)","25,130","25,130","1,041","1,147","3,681","3,669","3,374","4,775","4,228","2,206","912","90","7"
"서울특별시 중랑구 묵제1동(1126062000)","34,844","34,844","2,252","3,053","4,943","4,786","5,682","5,527","4,834","2,582","1,046","125","14"
"서울특별시 중랑구 묵제2동(1126063000)","19,054","19,054","1,000","1,186","2,661","2,993","2,802","3,211","2,994","1,562","576","66","3"
"서울특별시 중랑구 망우본동(1126065500)","30,033","30,033","1,450","1,819","4,115","4,057","3,996","5,572","5,226","2,613","1,022","155","8"
"서울특별시 중랑구 망우제3동(1126066000)","16,613","16,613","736","1,103","2,270","2,028","2,289","3,220","2,836","1,466","568","95","2"
"서울특별시 중랑구 신내1동(1126068000)","38,876","38,876","3,123","3,750","4,820","4,786","5,887","6,425","5,747","2,828","1,279","221","10"
"서울특별시 중랑구 신내2동(1126069000)","20,785","20,785","1,288","1,670","2,479","2,851","3,118","3,478","3,363","1,626","805","103","4"
"서울특별시 성북구 (1129000000)","433,361","433,361","28,228","36,578","66,130","59,120","68,524","69,040","56,267","32,722","14,648","1,996","108"
"서울특별시 성북구 성북동(1129052500)","16,696","16,696","754","1,165","2,765","2,460","2,540","2,753","2,096","1,298","710","136","19"
"서울특별시 성북구 삼선동(1129055500)","22,996","22,996","1,052","1,820","4,187","3,244","3,477","3,685","2,782","1,784","849","102","14"
"서울특별시 성북구 동선동(1129057500)","15,494","15,494","549","949","4,461","2,516","1,975","1,942","1,511","1,035","474","69","13"
"서울특별시 성북구 돈암제1동(1129058000)","14,827","14,827","791","1,258","1,979","1,949","2,082","2,666","2,206","1,250","576","66","4"
