,광역시도,시군구,구분,인구수,20~39세,65세이상
541,충청남도, 부여군,남자,32477,5680,9366
542,충청남도, 부여군,여자,32955,4421,12799
543,충청남도, 서천군,계,51821,7565,18551
544,충청남도, 서천군,남자,25628,4317,7735
545,충청남도, 서천군,여자,26193,3248,10818
546,충청남도, 청양군,계,31134,4931,10851
547,충청남도, 청양군,남자,15756,2818,4663
548,충청남도, 청양군,여자,15379,2113,6189
549,충청남도, 홍성군,계,99547,20483,23306
550,충청남도, 홍성군,남자,49507,10932,9802
551,충청남도, 홍성군,여자,50040,9551,13505
552,충청남도, 예산군,계,78072,13242,23994
553,충청남도, 예산군,남자,39228,7406,10295
554,충청남도, 예산군,여자,38844,5837,13699
555,충청남도, 태안군,계,62051,10451,18864
556,충청남도, 태안군,남자,31335,5982,8244
557,충청남도, 태안군,여자,30716,4471,10621
564,전라북도, 완산구,계,337634,88971,52054
565,전라북도, 완산구,남자,164462,45677,22269
566,전라북도, 완산구,여자,173172,43295,29786
567,전라북도, 덕진구,계,315225,85159,43137
568,전라북도, 덕진구,남자,156842,44114,18676
569,전라북도, 덕진구,여자,158383,41045,24463
570,전라북도, 군산시,계,266687,61125,48768
571,전라북도, 군산시,남자,134815,32637,21111
572,전라북도, 군산시,여자,131872,28489,27659
573,전라북도, 익산시,계,283174,65967,54379
574,전라북도, 익산시,남자,141054,35263,22944
575,전라북도, 익산시,여자,142120,30705,31436
576,전라북도, 정읍시,계,108474,19791,29484
577,전라북도, 정읍시,남자,53843,10703,11887
578,전라북도, 정읍시,여자,54631,9088,17597
579,전라북도, 남원시,계,80654,14155,22274
580,전라북도, 남원시,남자,39528,7554,8991
581,전라북도, 남원시,여자,41126,6603,13285
582,전라북도, 김제시,계,82405,14113,25757
583,전라북도, 김제시,남자,40902,7700,10406
584,전라북도, 김제시,여자,41504,6415,15353
585,전라북도, 완주군,계,91372,18698,20798
586,전라북도, 완주군,남자,46928,9978,9024
587,전라북도, 완주군,여자,44444,8722,11774
